office_name,website,domain,root_domain,koopaanbod_url,koopaanbod_url_quality,plaats,provincie,source_type,discovery_source,confidence,needs_review,review_reason,notes,raw_place,normalized_place,gemeente,place_status,place_review_reason
Bink & Partners,http://www.binkenpartners.nl,binkenpartners.nl,binkenpartners.nl,https://binkenpartners.nl/huis-verkopen-breda,suspect,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=1.58); suspect koopaanbod_url: missing listing signal,Breda,Breda,Breda,current_gemeente,
Crielaers Makelaardij & Taxaties,https://www.crielaersmakelaardij.nl,crielaersmakelaardij.nl,crielaersmakelaardij.nl,https://www.crielaersmakelaardij.nl/aanbod/woningaanbod/breda/koop/huis-10073758-Bernard-de-Wildestraat-600,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=1",Breda,Breda,Breda,current_gemeente,
Egan Makelaardij B.V.,https://www.eganmakelaardij.nl,eganmakelaardij.nl,eganmakelaardij.nl,https://www.funda.nl/makelaars/breda/19403-egan-makelaardij-bv/woningaanbod/koop/heel-nederland,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=3.50),Breda,Breda,Breda,current_gemeente,
ERA Focus Makelaars Breda B.V.,http://www.erafocus.nl,erafocus.nl,erafocus.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url,Breda,Breda,Breda,current_gemeente,
Hendriks Makelaardij Breda,http://www.hendriks.nl,hendriks.nl,hendriks.nl,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=3.50),Breda,Breda,Breda,current_gemeente,
Hypodomus Makelaars Breda,http://www.hypodomus-breda.nl,hypodomus-breda.nl,hypodomus-breda.nl,http://www.hypodomus-breda.nl/aanbod/woningaanbod,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=2",Breda,Breda,Breda,current_gemeente,
Ideale Makelaar,https://www.idealemakelaar.nl,idealemakelaar.nl,idealemakelaar.nl,https://www.idealemakelaar.nl/aanbod/koopwoningen,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0",Breda,Breda,Breda,current_gemeente,
Kern Makelaars Breda B.V.,http://www.kernmakelaars.nl,kernmakelaars.nl,kernmakelaars.nl,https://www.kernmakelaars.nl/aanbod/nu-in-verkoop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0",Breda,Breda,Breda,current_gemeente,
KIN Makelaars Breda B.V.,http://www.kinmakelaars.nl,kinmakelaars.nl,kinmakelaars.nl,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=4, huur=3",Breda,Breda,Breda,current_gemeente,
LUC Vastgoed Adviseurs,https://www.lucvastgoed.nl,lucvastgoed.nl,lucvastgoed.nl,https://www.lucvastgoed.nl/aanbod,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=11, koop=3, huur=2",Breda,Breda,Breda,current_gemeente,
Makelaarshuys Johanna en Gijs,https://makelaarshuysjohanna.nl,makelaarshuysjohanna.nl,makelaarshuysjohanna.nl,https://makelaarshuysjohanna.nl/aanbod/woningaanbod,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=2",Breda,Breda,Breda,current_gemeente,
Roga Makelaars B.V.,http://www.rogamakelaars.nl,rogamakelaars.nl,rogamakelaars.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Breda,Breda,Breda,current_gemeente,
Steverink en Partners,http://www.steverink.nl,steverink.nl,steverink.nl,http://www.steverink.nl/binnenkort-in-verkoop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=1, huur=0",Breda,Breda,Breda,current_gemeente,
Storimans en Partners,https://www.storimansenpartners.nl,storimansenpartners.nl,storimansenpartners.nl,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url,Breda,Breda,Breda,current_gemeente,
Taxatie 4u,,,,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Breda,Breda,Breda,current_gemeente,
Van Bragt Makelaars & Taxateurs,,,,,missing,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain,Breda,Breda,Breda,current_gemeente,
Van de Water Makelaars Breda,http://www.vandewatergroep.nl,vandewatergroep.nl,vandewatergroep.nl,https://vandewatergroep.nl/nieuwbouw/project/zevenbergen-markant-verkoop-gestart-schrijf-je-nu-in,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=324, sin senales huur",Breda,Breda,Breda,current_gemeente,
Van der Sande Makelaars,http://www.vandersande.nl,vandersande.nl,vandersande.nl,http://www.vandersande.nl/wonen/binnenkort-in-de-verkoop,valid,Breda,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=60, sin senales huur",Breda,Breda,Breda,current_gemeente,
Bart Hut Makelaardij,http://www.barthutmakelaardij.nl,barthutmakelaardij.nl,barthutmakelaardij.nl,http://www.barthutmakelaardij.nl/aanbod/woningaanbod/maarheeze/koop/huis-10069812-Gagelstraat-14,valid,Cranendonck,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=6, koop=5, huur=0",Cranendonck,Cranendonck,Cranendonck,current_gemeente,
